"Name","Team","Ht","GP","MINS","OPPM","DPPM","PPM","PTS","ORB","DRB","AST","STL","BLK","TOV","PF","RIMA","RIM.","MIDA","MID.","TPA","TP.","FTA","FT.","TS.","eFG."
"Gerald Drumgoole Jr.","Delaware","6-5",30,871.234,3.1,-2.3,0.8,16.7,0.8,3.8,2.9,0.4,0.2,1.9,1.8,3.9,0.546,1.5,0.395,7.6,0.37,4.2,0.638,0.552,0.534
"Alston Mason","Missouri St.","6-2",28,986,2.4,-1.6,0.8,17.4,0.4,2.5,3.6,0.8,0.1,2.4,2.1,4.1,0.612,3.3,0.348,6.8,0.352,3.8,0.774,0.545,0.511
"Isaac McKneely","Virginia","6-4",33,1067.833,1.6,-0.8,0.8,14.9,0.2,3.5,2,0.7,0.2,1.2,1.8,1.1,0.345,4.6,0.371,6.7,0.445,2.2,0.847,0.558,0.53
"Justice Hill","LMU (CA)","6-0",21,609.483,2.4,-1.6,0.8,13.3,0.5,1.9,5,0.4,0.1,2.5,1.8,3.5,0.424,3.2,0.418,5.4,0.37,2.2,0.784,0.508,0.481
"Ebby Asamoah","ETSU","6-5",31,954.05,1.6,-0.8,0.8,17.6,0.7,3.8,0.9,0.8,0.7,1.9,2.8,1.7,0.553,3.4,0.462,9.5,0.342,3.7,0.772,0.539,0.506
"Garrett Hicks","Samford","6-0",32,593.45,1,-0.2,0.8,10.1,0.7,2.4,2.7,1.6,0.3,1.1,2.1,2.9,0.604,1.6,0.414,4,0.311,2.1,0.789,0.537,0.503
"Corneilous Williams","Western Caro.","6-9",25,280.567,-0.6,1.4,0.8,10.1,4,4.6,0.2,0.4,2.4,1.2,4.6,5.5,0.711,0.4,0.333,0.1,0,3.5,0.586,0.661,0.673
"Brycen Goodine","Fairfield","6-4",29,739.201,3.1,-2.3,0.8,18.9,1.2,2.8,1.6,1.1,0.4,2.1,2.9,3.9,0.607,2.2,0.396,7.1,0.474,3.1,0.758,0.644,0.627
"Frank Staine","SFA","6-6",30,586.852,0.6,0.2,0.8,11.7,0.8,3.1,1.8,1.5,0.1,1.4,3.4,2.1,0.528,1.5,0.308,5.2,0.359,3.8,0.788,0.553,0.497
"Khamari McGriff","UNCW","6-8",27,463.931,-0.2,1,0.8,8,3.3,4.4,0.5,0.7,1.5,1,3.8,3.5,0.837,0.6,0.143,0,0,2.7,0.758,0.754,0.74
