"Name","Class","Team","Conference","Height","Pos","GP","MP","OPPM","DPPM","PPM","WAWO","DWAWO","PTS","ORB","DRB","AST","STL","BLK","TOV","PF","RIMA","RIM%","MIDA","MID%","3PA","3P%","FTA","FT%","TS%"
"Dillon Mitchell","Jr.","Cincinnati","Big 12","6-8","F",32,891,1.4,4.6,6,5.3,3,13.1,2.9,6.2,2.2,1.7,0.9,1.5,2,6.7,76,1.2,30.3,1.3,28.3,2.9,38.6,62.7
"Steven Ashworth","Sr.","Creighton","Big East","6-0","G",32,1141,5.3,0.7,6,7,1.6,16.8,0.3,3.9,7.2,0.7,0.1,3.4,1.6,2,44.3,2,44.7,8.6,37.5,3.9,92.4,58.7
"Jeremy Fears Jr.","So.","Michigan St.","Big Ten","6-2","G",32,748,2.7,3.2,5.9,4.7,2.1,11.1,0.4,2.8,8.6,1.7,0.3,2.8,3.2,2.7,52.9,2.8,36.8,1.5,37.8,6,75,57.6
"Nick Boyd","Sr.","San Diego St.","MWC","6-3","G",29,880,4.2,1.7,5.9,5.2,1.7,16.5,0.6,4.2,5.1,1.2,0,2.1,1.8,5.6,54.6,1.5,20.7,5.5,35.3,5.2,74.8,55.1
"Stevie Mitchell","Sr.","Marquette","Big East","6-2","G",32,867,3,2.9,5.9,5.3,2.3,15.2,2.4,3.2,2.1,3,0.2,1.1,3,6.2,60.6,1,39,3.1,35.8,4.7,73.8,61
"PJay Smith","Sr.","Furman","SoCon","6-0","G",30,965,4.6,1.3,5.9,5.8,1.7,18.9,0.4,4.1,4.4,1.6,0.2,2.6,2.2,2.4,53.5,2.2,42.6,8.6,40.3,4.6,86.5,61.8
"Quimari Peterson","Sr.","ETSU","SoCon","6-1","G",30,1065,4.7,1.2,5.9,6.2,1.8,19.9,1.3,3.3,3.8,1.9,0.2,2.4,1.7,5.7,54.5,3.1,37.6,6.8,42.2,3.8,74.1,57.8
"Tre Holloman","Jr.","Michigan St.","Big Ten","6-2","G",33,755,3.7,2.2,5.9,4.7,1.7,13.7,0.3,2.9,6,1.3,0.4,2.4,2.6,2.7,51.1,3.1,42,5.9,32.5,3.1,85,52.6
"Tyrese Proctor","Jr.","Duke","ACC","6-6","G",33,972,3.7,2.2,5.9,5.7,2.1,15.2,0.7,3.4,2.9,1.1,0.1,1.3,2.3,3,56.3,1.8,46.4,7.2,38.5,2.7,69.7,57.8
"Kasean Pryor","Sr.","Louisville","ACC","6-10","F",7,163,2.3,3.5,5.8,1,0.5,17.8,2,6.9,3.5,2.4,1.8,3,2.8,5.2,72,2.3,27.5,6.7,15.5,6.7,87.9,51.8
"Hayden Gray","Sr.","UC San Diego","Big West","6-4","G",32,1051,1.3,4.5,5.8,6.3,3.6,12.1,0.7,2.8,3.6,3.4,0.3,1.6,1.8,4.2,59.7,0.8,30.5,4.5,41.7,1.4,68.2,59.9
"Patrick Ngongba","Fr.","Duke","ACC","6-11","C",25,255,3.4,2.4,5.8,1.5,0.6,13.2,4.2,5.6,2.3,1.3,1.8,0.8,5.4,7.2,76.2,0.1,2,0.2,0,3.1,70,74.4
"Tyler Bilodeau","Jr.","UCLA","Big Ten","6-9","F",31,807,3.8,2,5.8,4.7,1.7,19.3,2.2,4.5,2.3,1.3,0.6,1.5,3,4.6,74.5,5.7,40,4,40.5,4.3,73,59.9
"Mason Falslev","So.","Utah St.","MWC","6-3","G",32,1051,4.8,1,5.8,6.2,1.7,16.7,1.4,5.5,4,2.7,0.2,2.2,2.2,6.5,60.5,2,42.3,4.3,39.3,3.7,56.3,57.9
"Clifford Omoruyi","Sr.","Alabama","SEC","6-11","C",32,605,2.5,3.2,5.7,4,1.9,13.8,3.5,8.5,1.8,0.4,1.9,1.4,4.6,6.5,78.2,0.4,71.3,0.1,2,4.5,69.6,77.6
"JJ White","Sr.","Omaha","Summit League","6-2","G",32,881,5.1,0.6,5.7,5.4,1.3,16.9,0.6,2.5,4.9,1,0,2.2,2.4,3.7,62.6,2.3,38.4,5.6,43,4.2,78.8,62.9
"JaKobe Coles","Sr.","Grand Canyon","WAC","6-8","F",32,920,3.3,2.4,5.7,5.9,2.3,17,1.3,5.2,2.6,1.3,0.9,1.9,2.7,5.2,66.1,4,50.5,3.2,31,4.1,76.7,60
"Nick Townsend","Jr.","Yale","Ivy League","6-7","F",26,793,4.5,1.2,5.7,4.8,1.4,17,2.4,5.9,3.9,0.7,0.3,1.8,2.2,7.9,54.3,1.8,41.6,2.1,50.1,5.1,75.9,60.9
"Jacari Lane","Jr.","North Ala.","ASUN","6-0","G",31,1066,5.5,0.2,5.7,6.3,1.2,18.4,0.7,2.4,4,1.3,0.2,2.1,1.8,4.3,52.5,5,32.9,5.5,41.2,4.8,78.3,54.3
"Rasheer Fleming","Jr.","Saint Joseph's","Atlantic 10","6-9","F",34,1076,3.3,2.4,5.7,6.5,2.5,16.7,2.3,7.4,1.4,1.6,1.8,1.6,2.7,5.9,69.4,0.3,9.1,4.9,40.2,3.4,73.7,66
"Silas Demary Jr.","So.","Georgia","SEC","6-5","G",31,972,3.4,2.3,5.7,5.8,2.2,15.5,0.8,3.9,3.8,2,0.3,2.4,2.8,3,55.5,2.6,34,5.2,38.8,5.3,81,58.8
"Tre Johnson","Fr.","Texas","SEC","6-6","G",31,1069,4.7,1,5.7,6.5,1.7,20.5,0.3,3,3.3,1.1,0.3,1.8,2,3.2,60.6,5.9,38.6,6.9,40,4.2,89.5,57.4
"Andersson Garcia","Sr.","Texas A&M","SEC","6-7","F",32,760,2.6,3,5.6,4.4,2,9.4,3.7,5.9,2.8,1.6,1.1,1.6,3.4,3,67.6,0.4,11.5,2.2,39.1,3.7,72.6,65
"Dawson Garcia","Sr.","Minnesota","Big Ten","6-11","F",32,1135,4.1,1.5,5.6,6.3,2,21,1.8,6.6,2.2,0.8,0.9,1.4,2.2,7.2,57.6,3.2,43.1,4.3,37.8,6.4,78.3,59.7
"Caleb Love","Sr.","Arizona","Big 12","6-4","G",33,1121,4.4,1.2,5.6,6.9,2,17.4,0.4,4.1,3.9,1.2,0.3,1.8,1.1,3.9,58.3,2.7,34.4,7.9,33.3,3.6,88.2,54.3
"Alvaro Folgueiras","So.","Robert Morris","NEC","6-9","F",33,978,2.6,3,5.6,5.9,2.7,15.9,2.6,7.5,3.3,1.6,1.3,2.6,2.7,5.5,62.2,1.2,41.9,3.6,42.3,4.3,77.5,64.5
"Ian Martinez","Sr.","Utah St.","MWC","6-3","G",32,953,5.7,-0.1,5.6,5.6,1,19.9,1,3.2,3.3,1.2,0.4,2,2.4,3.7,65.8,2.2,34.3,7.2,36.2,6.4,87.4,62.1
"Jalen Haynes","Sr.","George Mason","Atlantic 10","6-8","F",31,789,3,2.6,5.6,4.4,1.8,20.6,2.6,7.7,2,1,1,3.5,4,9.7,71,3.2,30.7,0.7,13.4,7.1,63,61.3
"Marques Warrick","Sr.","Missouri","SEC","6-3","G",32,425,6.1,-0.5,5.6,2.6,0.4,17.1,0.7,1.5,3.3,1.1,0.1,0.7,1.2,2.8,68.2,3,39.7,6,46.3,3.3,80.5,64.7
"Jaeden Zackery","Sr.","Clemson","ACC","6-2","G",32,1124,2.8,2.8,5.6,6.4,2.7,12,1.1,2.5,3.6,2.4,0.1,1.6,2.3,4,58.2,1.9,40,3.3,34.8,2.9,81.9,57.3
"Oumar Ballo","Sr.","Indiana","Big Ten","7-0","C",31,893,2.6,3,5.6,5.4,2.4,16.7,3.7,7.8,2.7,0.9,1.7,2.3,2.2,8.7,69.4,1.4,35.3,0,0,6.4,57.1,64.8
"Tucker DeVries","Sr.","West Virginia","Big 12","6-7","G",8,276,3.1,2.5,5.6,1.7,0.7,15.3,0.7,4.6,3,1.8,1.6,1.8,2.8,1.8,52.5,1.9,12.6,6.9,47.6,3.6,82.1,62.3
"Zeb Jackson","Sr.","VCU","Atlantic 10","6-5","G",27,594,3.9,1.7,5.6,3.5,1.2,17.5,1.7,4.3,3.3,1.8,0.2,2.1,3.2,5,53.4,1.3,23.4,6.9,30.4,5.9,87.9,55.2
"Hassan Diarra","Sr.","UConn","AAC","6-2","G",32,865,3.4,2.1,5.5,4.8,1.8,10.9,1.8,3.3,8.3,2.2,0.5,3,3,3.9,58.5,1.2,30.7,3.1,29.7,3.5,83.3,56.3
"Khaman Maluach","Fr.","Duke","ACC","7-2","C",34,717,3.2,2.3,5.5,4.1,1.6,15.3,5.3,7,0.9,0.3,2.5,1.3,3.3,7.6,76.4,0.3,71.7,0.8,20.1,3.6,74.6,74
"Isaiah Evans","Fr.","Duke","ACC","6-6","G",31,451,5.5,0,5.5,2.6,0.5,18.8,0.2,2.9,1.5,0.6,0.2,1.2,2.5,1.8,60.9,0.5,15.1,10.9,43.9,2.6,81.2,65.6
"Elijah Hawkins","Sr.","Texas Tech","Big 12","5-11","G",30,930,3.2,2.3,5.5,5.3,2.1,10.7,0.5,3.6,7.7,2,0.2,2.2,3.1,2,35.2,1.7,34.1,5.4,34.8,2.9,85.9,51.4
"KJ Lewis","So.","Arizona","Big 12","6-4","G",33,853,2.9,2.6,5.5,5.1,2.1,15.8,1.8,4.6,4.3,1.9,1.3,2.6,3.4,5.4,65.7,3.1,37.8,2.4,18.5,6.1,81,57.8
"Otega Oweh","Jr.","Kentucky","SEC","6-4","G",32,890,3.7,1.8,5.5,5.6,1.9,20.2,1.2,4.5,2.1,1.9,0.7,1.7,2.8,8.2,63.6,2.8,30.1,2.6,36.1,6.7,78.2,61
"Robbie Avila","So.","Saint Louis","Atlantic 10","6-10","C",28,961,4.1,1.4,5.5,5.6,1.7,17.4,1.2,6.1,4.4,1.2,0.9,3.4,2.5,5.6,62.7,1,41.9,5.3,35.4,5.1,76.1,61.4
"Dajuan Harris Jr.","Sr.","Kansas","Big 12","6-2","G",31,1005,1.7,3.7,5.4,5.9,3.1,9.9,0.7,2.7,6.9,1.6,0.4,1.8,1.4,3.5,51.2,2.3,49.8,2.8,32.8,1.8,71.4,52.8
"Asa Newell","Fr.","Georgia","SEC","6-11","F",31,890,3.7,1.7,5.4,5.2,1.8,19.2,4.1,4.5,1.2,1.3,1.4,1.2,2.9,8.4,70,1.2,32.9,3.3,29.7,4.9,75.2,63.6
"Alijah Martin","Sr.","Florida","SEC","6-2","G",30,902,3.7,1.7,5.4,5.5,1.9,16.6,1.3,4,2.8,1.8,0.3,1.7,1.6,3.7,71.8,1.7,37.2,6.8,36.2,3.5,74.4,60.4
"Malik Thomas","Sr.","San Francisco","WCC","6-5","G",31,977,4.5,0.9,5.4,5.9,1.6,21.5,0.5,3.6,2.3,1.8,0.1,2.3,2.8,4.8,55.7,4,43.2,5.6,39.6,7.2,83.4,61
"Frank Champion","Sr.","Chattanooga","SoCon","6-7","F",21,510,4.3,1.1,5.4,2.9,0.8,16.7,2,4.7,5.7,1.5,1.8,3.4,3.8,9.8,58.8,0.9,41.6,0.8,41.7,5.3,66.2,60.7
"Boogie Fland","Fr.","Arkansas","SEC","6-2","G",18,615,3.2,2.2,5.4,3.8,1.5,14.6,0.5,2.9,5.6,1.4,0.1,1.5,1.7,3,38.5,4.5,43.4,5,36.7,3.5,83.9,52.2
"Rafael Castro","Jr.","George Washington","Atlantic 10","6-11","C",31,907,3.9,1.5,5.4,5.2,1.7,17.4,3.8,6.6,2.1,1.5,1.6,1.7,2.5,8.6,71.4,0.7,31,0.1,0,7.2,64.5,69.1
"Markus Burton","So.","Notre Dame","ACC","5-11","G",25,837,5,0.4,5.4,4.6,1,23.3,0.3,3.8,3.6,2,0.1,2.9,2.5,5.6,52.4,6.9,44.2,5.4,37.2,6.3,84.6,56.5
"Mikey Lewis","Fr.","Saint Mary's (CA)","WCC","6-3","G",32,515,2.9,2.5,5.4,2.8,1.2,19.5,0.7,3.3,1.5,1.6,0.4,1.8,2.2,2.9,45.9,3.7,44.2,10.2,39.3,2.1,70.4,54.8
"Darius Johnson","Sr.","UCF","Big 12","6-1","G",32,1100,4.3,1,5.3,6.8,1.9,17,0.6,2.7,4.5,2.3,0.2,2.6,2.6,5.1,54.9,1.1,31.8,5.8,41.4,4.3,82.2,61.4
"Adam Clark","So.","Merrimack","MAAC","5-10","G",32,1181,3.6,1.7,5.3,6.4,2.2,19.9,1.2,3.1,5.8,2.6,0.1,3.3,2.7,7.3,53.9,8.2,39.8,2.1,27.6,4.8,77.8,50.4
"Chase Hunter","Sr.","Clemson","ACC","6-3","G",32,1056,4.1,1.2,5.3,5.8,1.7,18.3,0.6,2.9,3,1.7,0.6,2.1,2,3.3,64.7,3.6,43.8,6,40.5,4.2,86.7,62.2
"Jaylen Blakes","Sr.","Stanford","ACC","6-2","G",29,898,4.1,1.2,5.3,5.1,1.5,14.8,1.1,2.2,5.6,2.2,0.4,2.3,3.1,4.1,57.4,2.4,40.6,3.8,28.5,5.9,82.1,57.1
"Christoph Tilly","Jr.","Santa Clara","WCC","7-0","C",29,656,3.8,1.5,5.3,3.8,1.2,19.1,2.4,5,2.9,1.3,1.3,3,4.1,8.5,64.2,1.1,47.6,2.7,33.1,5.6,77.7,64.4
"Egor Demin","Fr.","BYU","Big 12","6-9","G",30,828,3.4,1.9,5.3,4.8,1.7,13.6,0.4,4.6,7.4,1.4,0.5,3.5,1.5,3.9,69.4,2,33.6,5.5,27.3,3.4,67.5,52.6
"Geronimo Rubio De La Rosa","Sr.","Columbia","Ivy League","6-2","G",17,542,5.2,0.1,5.3,3.2,0.6,18.8,0.6,2.5,2.5,1.5,0.2,1.5,1.2,3.8,58.1,1.5,49.6,7.6,41.8,3.8,88.7,64.5
"Arthur Kaluma","Sr.","Texas","SEC","6-7","F",31,908,2.7,2.6,5.3,5.3,2.2,15.3,2,7.3,2.4,1.1,1.2,1.8,2.4,5.2,63.6,2.6,29.8,3.4,36.9,4.3,78.9,58.5
"Nijel Pack","Sr.","Miami (FL)","ACC","6-0","G",9,280,5.6,-0.3,5.3,1.6,0.2,16.6,1.1,2.6,5.5,0.5,0.1,1.4,1.9,2.5,47.8,2.9,62.2,7.3,39.4,2.3,83.3,60.4
"Tamin Lipsey","Jr.","Iowa St.","Big 12","6-1","G",31,956,2.4,2.9,5.3,5.6,2.6,12.5,1.1,1.9,3.8,2.4,0.3,1.7,1.8,3.3,77.3,1.3,27.2,4,34.8,3.4,76.1,62.4
"Christian Anderson","Fr.","Texas Tech","Big 12","6-2","G",30,879,3.7,1.5,5.2,4.9,1.6,13.5,0.6,3.2,3.1,1.7,0.1,1.3,2.7,1.2,63.7,1.8,50,6.4,40.8,3,78.3,63
"Devin Tillis","Sr.","UC Irvine","Big West","6-6","F",32,939,3.4,1.8,5.2,5.5,2,15.4,2,7,2.9,0.8,0.3,1.8,2,6,66.7,1.5,39,3.6,36.1,2.7,84.2,62.4
"Alex Karaban","Jr.","UConn","AAC","6-8","F",30,1070,4.3,0.9,5.2,5.8,1.6,15.4,1.8,4,3.1,0.6,1.7,1.3,2,3.8,61.4,1.4,42.8,6.2,36.5,3.3,83.5,60
"Keshon Gilbert","Sr.","Iowa St.","Big 12","6-4","G",28,878,2.4,2.8,5.2,5.1,2.3,15,0.6,3.3,4.7,2,0.1,3.5,1.9,4.5,68.8,3.3,36.7,2.9,34.9,4.6,73.3,59
"Melvin Council Jr.","Jr.","St. Bonaventure","Atlantic 10","6-4","G",31,1153,2.8,2.4,5.2,6.3,2.6,14.9,1,4.5,4.2,2.1,0.5,1.9,1.5,5.5,62.5,3.7,36.8,4,29.1,2.2,84.1,52.8
"Paul McNeil, Jr.","Fr.","NC State","ACC","6-5","G",24,206,5.1,0.1,5.2,1.2,0.2,16.9,2.9,2.5,3.3,1.1,0.4,1.2,2.8,1.8,72.6,3.4,49.1,7.2,35.6,4.4,76,59.2
"Steven Crowl","Sr.","Wisconsin","Big Ten","7-0","F",33,845,3.7,1.5,5.2,4.8,1.6,14.1,2.1,5.8,3.7,0.8,0.8,2,2.7,6.1,62.9,0.9,48.1,2.7,40.6,2.8,82,64.6
"Mohamed Wague","Sr.","Oklahoma","SEC","6-10","F",31,337,2.5,2.7,5.2,1.9,0.8,12.9,5.4,4.1,2.2,2.7,1.1,2.6,6.6,6.3,73.7,0.1,100,0,0,5.1,67.4,74.8
"Xaivian Lee","Jr.","Princeton","Ivy League","6-3","G",27,905,3.9,1.3,5.2,5.1,1.6,17.9,1,5.6,5.7,1.3,0.4,2.4,2.6,6.7,49,1.9,42.6,5.9,35.9,4.2,78.3,54.6
"Anderson Kopp","Sr.","Kansas City","WAC","6-5","G",11,209,4.8,0.3,5.1,1.2,0.3,19.6,1,2.5,3.7,1.3,0.2,1.9,3.2,2.9,81.1,4.1,32.7,6.6,35.3,5.6,91.7,60.9
"Brooks Barnhizer","Sr.","Northwestern","Big Ten","6-6","G",17,629,2.2,2.9,5.1,3.5,1.6,16.8,1.5,7.5,4.3,2.3,1.3,2.6,1.6,5.1,53.6,4.7,42.1,3.6,27.2,5.8,76.4,52.6
"Jaden Akins","Sr.","Michigan St.","Big Ten","6-4","G",33,885,2.1,3,5.1,5.1,2.4,16.7,0.9,3.9,2,1.1,0.4,1.4,1.9,5.1,62.4,3.4,30.3,6.4,29.7,3.2,78.2,51
"Samson Johnson","Sr.","UConn","AAC","6-10","F",31,591,3.8,1.3,5.1,3.1,1,15.9,2.6,4.2,1.8,1.3,3.2,2,5.8,8.4,78.9,0.3,59.2,0,0,3,73.8,78.9
"Miles Kelly","Sr.","Auburn","SEC","6-6","G",32,894,3.4,1.7,5.1,5.1,1.8,14.6,0.5,4.4,1.6,1.4,0.6,1,2.5,2.3,57,1.5,39.4,7.2,40.5,2.2,91.1,60.9
"Nolan Winter","So.","Wisconsin","Big Ten","7-0","F",33,705,2.6,2.5,5.1,4,1.7,16.1,2.8,7.2,1.8,0.7,0.7,1.2,2.4,5.2,76.9,0.6,31.2,4.2,37.5,4,78.7,69.1
"Terrence Edwards Jr.","Sr.","Louisville","ACC","6-6","G",33,1074,3,2.1,5.1,6.1,2.4,18,1,3.5,3.1,0.8,0.3,2.3,1.6,4.2,59.2,3.7,45.4,6.1,34.2,4.4,77.9,56.5
"Cameron Matthews","Sr.","Mississippi St.","SEC","6-7","F",33,968,1,4,5,5.5,3.1,9.2,2.9,5.3,4.6,3.1,0.9,2.7,3.1,4.9,61.6,0.8,41.2,0.9,25.1,3.7,49.5,56
"Brian Moore, Jr.","Jr.","Norfolk St.","MEAC","6-1","G",31,995,4.8,0.2,5,5.6,1.2,19.6,0.6,3.4,2.9,1.2,0.3,1.7,1.9,6.4,65.2,5.5,42.7,2.2,33.7,5.3,81.2,59.6
"Bryce Hopkins","Sr.","Providence","Big East","6-7","F",3,93,3.3,1.7,5,0.5,0.2,21.5,2.7,6.8,3.7,1,0,2.1,1.3,11.4,44.5,0.7,0,4,40.3,8.6,75,53.9
"Bash Wieland","Sr.","Chattanooga","SoCon","6-6","G",28,781,4.1,0.9,5,4.3,1.2,18.5,1.6,3.7,2,1.2,0.1,0.9,2.4,4.5,78.8,4.4,55.9,3.4,34.1,3.4,82.7,66.3
"Guy Ragland Jr.","Sr.","Cornell","Ivy League","6-8","F",25,592,4.3,0.7,5,3.5,0.9,15.4,1.7,5.7,4.2,1.4,0.3,2.4,2.8,4.3,64.5,0.2,24.3,6.2,42.5,2.6,75.6,65.5
"Owen Freeman","So.","Iowa","Big Ten","6-10","F",19,487,3.6,1.4,5,2.9,0.9,22.7,2.6,6.4,1.6,0.8,2.4,2.2,3.3,12.1,72.6,1.5,32.5,1.1,31.4,5.4,60,66.9
"Fousseyni Traore","Sr.","BYU","Big 12","6-6","F",33,574,5,0,5,3.2,0.6,18.4,3.9,7.2,3,0.6,0.8,2.4,2.8,7.8,70.8,3.4,52.6,0.2,24.9,4.4,81.4,68.6
"Jaland Lowe","So.","Pittsburgh","ACC","6-2","G",30,1056,4.4,0.6,5,5.8,1.4,17.4,0.9,3.5,6.1,1.9,0.2,3,2.1,5.1,54.9,4.2,31.9,5,27,5.7,88.3,51.7
"Micah Peavy","Sr.","Georgetown","Big East","6-8","G",32,1183,2.5,2.5,5,6.6,2.8,16.4,1.6,4.1,3.6,2.2,0.5,2.5,2.8,5.3,62,4,41.2,3.9,40.1,2.8,65.9,56.9
"Malique Ewin","So.","Florida St.","ACC","6-10","F",29,747,3.6,1.4,5,4.3,1.4,19.5,4,6.2,2.3,1.2,1.1,2.6,3.7,10.6,68.8,2.4,29.7,0.1,0.1,5.5,64.3,63.2
"Aden Holloway","So.","Alabama","SEC","6-1","G",32,675,4.8,0.1,4.9,4.3,0.9,16.9,0.3,2.8,3.2,1,0,1.7,2.2,2.8,55.7,1.3,69.1,8,42.2,2.4,78,64.4
"Brenen Lorient","Jr.","North Texas","AAC","6-9","F",29,724,3.4,1.5,4.9,3.6,1.2,19.4,2.4,5.2,2.2,1.4,1.7,2.4,3.6,6.1,71.2,5.1,44,1.1,47.8,6.3,74.3,64.4
"Kobe Johnson","Sr.","UCLA","Big Ten","6-6","G",32,917,1.3,3.6,4.9,5,2.7,10.3,2.4,5.5,3.9,2.2,0.3,1.8,3.3,2.6,63.3,1.4,47.5,3.9,36.4,2.2,69.2,58.6
"Ante Brzovic","Sr.","Col. of Charleston","CAA","6-10","F",31,1026,3,1.9,4.9,5.9,2.2,18.7,1.6,6.7,2.8,0.9,1,2.4,2.8,7.5,66.2,4.2,41.5,1.8,33.2,5,68.2,59.4
"Barrington Hargress","So.","UC Riverside","Big West","6-0","G",31,987,5.7,-0.8,4.9,5.6,0.6,22.8,0.4,2.3,4.4,1.3,0,2,2.1,5.3,63.4,6.6,42.6,7,31.7,5.2,73.6,53.9
"Amael L'Etang","Fr.","Dayton","Atlantic 10","7-1","F",30,499,2.5,2.4,4.9,2.7,1.1,16.2,3,6.2,2.8,1.1,2.1,2,3.7,6,68,0.7,10.2,4.6,34.7,4.8,63.5,60.4
"J'Wan Roberts","Sr.","Houston","Big 12","6-8","F",30,910,2.7,2.2,4.9,4.5,1.8,14.6,3,5.4,2.5,1.4,1,2.1,2.3,8.8,54.7,2.8,43.7,0,0,3.9,64,54.8
"Marcus Adams Jr.","So.","CSUN","Big West","6-8","F",30,869,3.6,1.3,4.9,5.1,1.6,18.1,1.8,3.8,1.6,1.1,0.4,1.9,2.4,5.1,64.8,3.1,53.9,5.5,39.1,2.3,72.1,61.4
"Pryce Sandfort","So.","Iowa","Big Ten","6-7","F",33,732,5,-0.1,4.9,4.2,0.8,13.5,1.3,3.3,2.1,1,0.4,0.6,2,2,82,1.4,47.2,6.3,40.2,2.2,63.6,63.9
"Taye Fields","Sr.","North Ala.","ASUN","6-4","G",31,916,2.5,2.4,4.9,4.9,2.1,13.4,3.5,6.6,4,1.8,1.4,1.8,3.2,6.5,61.8,2.4,33.7,1,35.4,3.8,72.6,58.3
"Xzayvier Brown","So.","Saint Joseph's","Atlantic 10","6-2","G",31,1117,3.6,1.3,4.9,6.2,2,17.4,0.7,4.5,4.4,1.4,0.1,2.5,1.7,5.7,54.5,1.6,26.2,5.2,35.5,5.3,89.6,58.5
"Amani Hansberry","So.","West Virginia","Big 12","6-8","F",30,710,2.2,2.6,4.8,3.7,1.7,15.6,3.6,7,2.4,1.2,0.6,2.1,3.2,5.8,59.5,1.7,47.1,5.7,28.1,3.1,75,53.6
"Jacob Ognacevic","Sr.","Lipscomb","ASUN","6-7","F",32,1101,4.6,0.2,4.8,5.9,1.3,20.6,1.7,6.4,1.4,0.3,0.5,2,1.6,4.8,72.7,4.1,50.3,3.6,40.8,6.3,80.7,67.3
"Marcus Williams","Sr.","San Francisco","WCC","6-2","G",30,931,3.7,1.1,4.8,5.2,1.6,17,0.7,3.5,4.9,1.6,0.4,2.7,2.7,3.9,61.1,2.7,45.7,5.9,41.4,3.1,73.8,60.8
"Keeshawn Barthelemy","Sr.","Oregon","Big Ten","6-1","G",32,878,3.7,1.1,4.8,4.8,1.5,13.1,0.7,2.5,3.7,1.5,0.3,1.1,1.3,1.3,56.6,3.6,40.5,5.6,43,1.7,87.8,58.2
"Malik Dia","Jr.","Ole Miss","SEC","6-9","F",33,684,2.5,2.3,4.8,3.8,1.6,18.7,2.3,7.8,1.5,1.2,1.5,1.1,3.5,6.3,68,3.9,32,3.9,33.8,5.7,64.8,56.4
"KJ Adams","Sr.","Kansas","Big 12","6-7","F",30,900,1.7,3.1,4.8,5,2.5,11,2.7,3.5,3.2,1.1,1.1,1,2.7,4.3,68.9,3.4,41.9,0,0,3.1,72.4,60.8
"Jizzle James","So.","Cincinnati","Big 12","6-3","G",32,873,3.4,1.4,4.8,4.7,1.5,17.4,0.8,3.5,5.1,1.3,0.6,2.4,2.7,4.3,59.9,6.5,40.9,5.8,29.8,2.4,75,49.3
"Tre Donaldson","Jr.","Michigan","Big Ten","6-3","G",33,1035,3.2,1.6,4.8,5.9,2.1,12.8,0.6,3.3,4.7,1.2,0.1,2.2,1.5,3.8,55.6,1.5,41.3,4.8,39.1,2.5,68.1,57.1
"Tahaad Pettiford","Fr.","Auburn","SEC","6-1","G",32,706,4.6,0.2,4.8,4,0.8,16.9,0.4,3.1,5.2,1.5,0.2,2.3,3.7,3.4,49.6,2.5,49.7,7.5,36.8,3.4,81.5,56.7
"Bez Mbeng","Sr.","Yale","Ivy League","6-4","G",26,841,2.1,2.6,4.7,4.6,2.1,13.9,0.7,4.9,5.7,2,0.5,3.1,2.9,4.8,52.4,2,39.1,4,35.4,4.4,71,54.8
"Damian Dunn","Jr.","Pittsburgh","ACC","6-5","G",15,377,3,1.7,4.7,2,0.7,14.8,0.9,3.1,3,1.1,0.1,1.2,3,3.3,51.2,2.9,37.7,4.4,44,4.4,80,59.4
"KeShawn Murphy","Jr.","Mississippi St.","SEC","6-10","F",33,794,2.5,2.2,4.7,4.4,1.8,17.9,3.4,7.9,2.5,1.3,1.6,2.1,2.6,7.9,75.7,3.7,38.5,1.1,15.8,4.2,61.1,61.5
"Trey Campbell","Jr.","UNI","MVC","6-4","G",31,924,2.1,2.6,4.7,4.9,2.2,13.9,0.6,4.6,3.7,1.7,0.7,2,2.8,2.2,56.5,3.2,29.2,6.3,43.2,1.7,80,55.8
"Kyler Filewich","Sr.","Wofford","SoCon","6-9","C",32,885,4.2,0.5,4.7,4.5,1.1,16.3,4.7,7.3,4,0.9,0.8,2.2,2.4,10.6,61,1.8,45,0.2,0,5.2,32.8,54.6
"J'Vonne Hadley","Sr.","Louisville","ACC","6-6","G",33,1087,2.7,1.9,4.6,5.9,2.3,13.3,2.3,5.9,2.2,0.8,0.3,1.7,1.9,4.9,64.3,1.6,41.1,2.6,38.2,3.4,77.5,62.4
"Chris Manon","Sr.","Vanderbilt","SEC","6-5","G",31,556,3.2,1.4,4.6,3.1,1,13.1,2.8,4.4,2.7,3.4,1.9,1.6,4.8,5.6,65.4,0.3,66.9,2,25.6,5,77.2,65.1
"John Poulakidas","Sr.","Yale","Ivy League","6-5","G",23,728,5.4,-0.8,4.6,3.9,0.5,20.7,0.5,3,1.3,0.6,0.1,1,2.1,0.8,60.7,7,48.4,8.6,38.4,3.4,89.6,57.8
"Jahmyl Telfort","Sr.","Butler","Big East","6-7","F",33,1161,3.5,1.1,4.6,6.1,1.9,16.5,1.1,3.9,3.8,1.1,0.4,2.1,2,3.5,58.1,4.3,50.5,3.8,36.2,5.3,77.1,59.7
"Hunter Sallis","Sr.","Wake Forest","ACC","6-5","G",31,1108,2.8,1.8,4.6,5.9,2.2,17.7,0.5,4.8,2.9,1.2,0.6,2.4,2.3,3.1,65.4,5.9,50.3,4.7,27.1,4.9,80.8,56.1
"Joe Anderson","Sr.","Lipscomb","ASUN","6-0","G",32,1059,3.6,1,4.6,5.6,1.7,13.5,0.1,3.6,4.2,2.5,0.2,1.7,1.2,2.8,59.1,1.5,49.8,5.8,41.7,1.7,82,62
