"Team","Ortg","DRTG","Rtg","EFG%","dEFG%","TO%","dTO%","ORB%","DRB%","FTR","dFTR"
"Northern Ky.",-2.5,-0.7,-3.2,48.5,52.2,16.4,18.6,28.3,71,29.3,28.9
"Marist",-4.5,1.2,-3.3,48.8,48.2,17.2,15.7,26.3,75.7,24.5,33.3
"Mount St. Mary's",-3.2,-0.1,-3.4,50.3,49,19.7,15.8,27.7,74.5,30.9,29.1
"Sam Houston",1,-4.5,-3.5,51.9,52,17.3,16.8,28,71,33.8,31.4
"Siena",-2.4,-1.1,-3.5,48.3,51.1,16.6,17.4,26.7,72.8,36.3,33.1
"South Dakota",1.2,-4.6,-3.5,48.6,52.5,14.1,17.1,27.2,68.8,41,33.6
"Massachusetts",-4.1,0.5,-3.6,45.8,49.4,16.3,16.8,31.4,71.3,33.5,33.7
"American",-1.8,-2,-3.8,49.9,51.3,16.3,16.9,22.2,72.5,30.6,34.1
"La Salle",-3.5,-0.4,-3.8,46.6,51.4,15.4,16.5,27.4,73.4,31.5,28.8
"Campbell",-3.7,-0.2,-3.9,48.8,51.9,16.3,17.8,21.9,73.7,30.5,29
"Fairleigh Dickinson",-2.9,-1,-3.9,50.1,49.7,16.7,16.7,26.8,72.9,32,32.1
"Lafayette",-3.6,-0.3,-3.9,48.9,49.2,16.9,16,22.5,73,30.8,28.3
"Navy",-2,-1.9,-3.9,47.5,51.6,16.2,16.8,28.3,73,34.4,33.1
"Colgate",-1.2,-2.9,-4.1,52,52.2,16.7,16,22.2,74.7,25.2,27.4
"Hofstra",-6.4,2.2,-4.2,48,47,16.5,15.9,22.4,75.3,26,35.1
"Kansas City",-5.2,0.9,-4.3,47.7,49.7,17.8,17.2,29.6,72.9,30.8,33.2
"UIW",-1,-3.3,-4.3,50.2,51.8,16.2,17.1,30.1,73,28.2,33.5
"Boston College",-2.6,-2,-4.5,48.7,50.4,17.2,15.8,26.8,73.8,31.1,34.7
"Idaho",1.4,-5.8,-4.5,51,52.9,17,15.4,26.7,70.8,31.6,34.7
"Northwestern St.",-4.1,-0.4,-4.5,49,49.1,18.5,16.9,29.5,72.5,31.9,31.9
"UT Arlington",-1,-3.5,-4.5,51.2,50.4,17.6,15.4,29.5,71,34.7,31.1
"North Florida",2.6,-7.2,-4.6,51.5,52.8,15.9,15.7,25.2,68.9,26.3,31.1
"Toledo",1.8,-6.4,-4.6,49.1,54.9,14.4,15.9,27.2,71.4,32.5,26.1
"Presbyterian",-2.3,-2.5,-4.9,49.9,51.6,16.3,16.5,26.7,73.3,30.4,34
"Iona",-5.6,0.6,-5,46.7,51.9,19.4,20.6,34.5,71.6,28.4,36.4
"Wyoming",-3.7,-1.3,-5,50.5,49.4,18.1,15.8,27.3,75.3,30.4,36.5
"Southern U.",-6.9,1.8,-5.1,47.1,50.2,17,19.4,28.4,73.6,35.6,37.9
"UAlbany",-1.8,-3.3,-5.1,48.1,53.9,16,18,27.6,73.3,29.9,35.6
"Fordham",-2.8,-2.4,-5.2,48.6,51.9,17.8,16.7,28.8,73.4,31.4,35.2
"Harvard",-3.7,-1.4,-5.2,49.8,51.1,17.4,16.8,22.3,72.8,27.4,27.2
"Tennessee St.",-3.9,-1.3,-5.2,50.5,49.8,19,16.2,29.7,72,37,37.4
"Tex. A&M-Commerce",-5.9,0.8,-5.2,50.2,51.2,18,19.4,27.4,71.7,30.5,31.6
"UMBC",0.5,-5.7,-5.2,53.6,53.5,16,16.6,17.6,69.2,31.1,29.5
"Mercer",-5.2,-0.2,-5.4,47.8,49.9,16.6,16.3,25.2,73.1,28.9,32.4
"Richmond",-2,-3.5,-5.5,49,51.2,15.2,16,19.2,73.9,30.2,33.7
"Seton Hall",-7.5,1.9,-5.5,46.5,52.4,17.7,19.9,28.7,72.5,32.7,37.2
"Georgia St.",0.2,-5.8,-5.6,50.5,51.3,17,13.8,29.3,72.6,31.8,27.4
"Ball St.",-1.7,-4,-5.7,49.3,51,16.3,14.6,23.6,72.8,39.9,31.3
"Missouri St.",-5.2,-0.7,-5.9,50,51.9,19.5,18,30,74.6,32.2,35.4
"Charlotte",-1.1,-5,-6.1,48.3,53.5,15.5,15.1,22.6,73.5,38.3,33
"Ga. Southern",-4.2,-2,-6.2,49.4,50.6,18.8,17.1,29.2,72.5,26.7,39.6
"Hawaii",-3.2,-3,-6.2,49.9,49.2,19.2,13.5,27.4,76.5,36.8,32
"Monmouth",-2.7,-3.5,-6.2,47.4,50.4,16.3,16.5,27.3,68.6,35.4,34.6
"Saint Francis (PA)",-2.5,-3.7,-6.2,50.1,51.9,16.7,16.7,26.8,73.9,32,27.1
"Tennessee Tech",-3.1,-3.1,-6.2,49.5,50.4,16.7,15.2,22.2,71.4,27.6,23.9
"CSU Bakersfield",-2.3,-4.1,-6.4,48,53.3,17.5,17.4,31.4,72.5,34.1,41.5
"Tulsa",-3.9,-2.7,-6.6,48.8,50.1,16.1,14.7,23.9,73.1,30.8,29.7
